index,GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),STARTYEAR,ENDYEAR,REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),EDUCATIONLEVEL (CODE),EDUCATIONLEVEL (DISPLAY),EDUCATIONLEVEL (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),RESIDENCEAREATYPE (CODE),RESIDENCEAREATYPE (DISPLAY),RESIDENCEAREATYPE (URL),WEALTHQUINTILE (CODE),WEALTHQUINTILE (DISPLAY),WEALTHQUINTILE (URL),DHSMICSGEOREGION (CODE),DHSMICSGEOREGION (DISPLAY),DHSMICSGEOREGION (URL),WEALTHDECILE (CODE),WEALTHDECILE (DISPLAY),WEALTHDECILE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
2680,anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2008.0,2008,,AFR,2008,2008,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ1,Q1 (Poorest),,,,,,,,23.8 [21.1-26.7],23.79544,21.12448,26.68985,,,
2681,anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2008.0,2008,,AFR,2008,2008,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ3,Q3,,,,,,,,62.9 [59.5-66.2],62.92202,59.52903,66.19209,,,
2682,anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3324,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2007.0,2007,,AFR,2007,2007,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ3,Q3,,,,,,,,58.0 [53.7-62.3],58.04351,53.65789,62.30566,,,
2683,anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3324,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2007.0,2007,,AFR,2007,2007,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ5,Q5 (Richest),,,,,,,,93.0 [90.5-94.9],92.98408,90.47433,94.87008,,,
2684,anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1999.0,1999,,AFR,1999,1999,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ2,Q2,,,,,,,,No data,,,,,,Not available.
2685,anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1999.0,1999,,AFR,1999,1999,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ4,Q4,,,,,,,,No data,,,,,,Not available.
2686,anc15,Antenatal care coverage - at least one visit (in the five years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3324,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2016.0,2016,,AFR,2016,2016,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ1,Q1 (Poorest),,,,,,,,No data,,,,,,Not available.
2687,anc15,Antenatal care coverage - at least one visit (in the five years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,AFR,2013,2013,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ1,Q1 (Poorest),,,,,,,,24.6 [21.6-28.0],24.62706,21.5547,27.98114,,,
2688,anc15,Antenatal care coverage - at least one visit (in the five years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,AFR,2013,2013,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ3,Q3,,,,,,,,67.8 [65.0-70.5],67.78192,64.99028,70.45216,,,
2689,anc15,Antenatal care coverage - at least one visit (in the five years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3324,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2011.0,2011,,AFR,2011,2011,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ5,Q5 (Richest),,,,,,,,No data,,,,,,Not available.
2690,anc15,Antenatal care coverage - at least one visit (in the five years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2008.0,2008,,AFR,2008,2008,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ2,Q2,,,,,,,,39.7 [36.5-43.0],39.69159,36.48148,42.99298,,,
2691,anc15,Antenatal care coverage - at least one visit (in the five years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3324,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2007.0,2007,,AFR,2007,2007,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ4,Q4,,,,,,,,No data,,,,,,Not available.
2692,anc15,Antenatal care coverage - at least one visit (in the five years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003.0,2003,,AFR,2003,2003,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ1,Q1 (Poorest),,,,,,,,33.9 [29.1-39.1],33.94044,29.12533,39.11229,,,
2693,anc15,Antenatal care coverage - at least one visit (in the five years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1999.0,1999,,AFR,1999,1999,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ1,Q1 (Poorest),,,,,,,,No data,,,,,,Not available.
2694,anc15,Antenatal care coverage - at least one visit (in the five years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1999.0,1999,,AFR,1999,1999,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ3,Q3,,,,,,,,No data,,,,,,Not available.
2695,anc4,Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,AFR,2013,2013,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ2,Q2,,,,,,,,35.2 [32.5-38.0],35.20330,32.46356,38.04401,,,
2696,anc4,Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,AFR,2013,2013,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ4,Q4,,,,,,,,72.9 [70.3-75.4],72.91064,70.26896,75.39978,,,
2697,anc4,Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3323,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2011.0,2011,,AFR,2011,2011,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ4,Q4,,,,,,,,77.8 [74.6-80.6],77.77777,74.61662,80.64735,,,
2698,anc4,Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2008.0,2008,,AFR,2008,2008,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ1,Q1 (Poorest),,,,,,,,15.6 [13.6-17.9],15.61910,13.59591,17.88106,,,
2699,anc4,Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2008.0,2008,,AFR,2008,2008,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ3,Q3,,,,,,,,46.8 [43.9-49.8],46.82698,43.86829,49.80814,,,
2700,anc4,Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3323,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2007.0,2007,,AFR,2007,2007,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ3,Q3,,,,,,,,34.2 [30.6-37.9],34.16875,30.58259,37.94557,,,
2701,anc4,Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3323,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2007.0,2007,,AFR,2007,2007,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ5,Q5 (Richest),,,,,,,,51.8 [46.3-57.3],51.81174,46.28062,57.29882,,,
2702,anc4,Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1999.0,1999,,AFR,1999,1999,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ2,Q2,,,,,,,,No data,,,,,,Not available.
2703,anc4,Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1999.0,1999,,AFR,1999,1999,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ4,Q4,,,,,,,,No data,,,,,,Not available.
2704,anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3323,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2016.0,2016,,AFR,2016,2016,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ1,Q1 (Poorest),,,,,,,,No data,,,,,,Not available.
2705,anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,AFR,2013,2013,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ1,Q1 (Poorest),,,,,,,,18.0 [15.5-20.7],17.96486,15.48069,20.74981,,,
2706,anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,AFR,2013,2013,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ3,Q3,,,,,,,,57.6 [54.8-60.3],57.61425,54.83674,60.34446,,,
2707,anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3323,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2011.0,2011,,AFR,2011,2011,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ5,Q5 (Richest),,,,,,,,No data,,,,,,Not available.
2708,anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2008.0,2008,,AFR,2008,2008,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ2,Q2,,,,,,,,28.6 [26.1-31.2],28.60780,26.13791,31.21246,,,
2709,anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3323,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2007.0,2007,,AFR,2007,2007,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ4,Q4,,,,,,,,No data,,,,,,Not available.
2710,anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003.0,2003,,AFR,2003,2003,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ1,Q1 (Poorest),,,,,,,,23.6 [19.6-28.1],23.55757,19.5667,28.07827,,,
2711,anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1999.0,1999,,AFR,1999,1999,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ1,Q1 (Poorest),,,,,,,,No data,,,,,,Not available.
2712,anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1999.0,1999,,AFR,1999,1999,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ3,Q3,,,,,,,,No data,,,,,,Not available.
2713,asfr1,Adolescent fertility rate (births per 1000 women aged 15-19 years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3322,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,AFR,2013,2013,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ2,Q2,,,,,,,,177.9 [154.6-203.9],177.88736,154.5764,203.86604,,,
2714,asfr1,Adolescent fertility rate (births per 1000 women aged 15-19 years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3322,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,AFR,2013,2013,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ4,Q4,,,,,,,,85.8 [73.4-100.1],85.78840,73.3768,100.07269,,,
2715,asfr1,Adolescent fertility rate (births per 1000 women aged 15-19 years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3322,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2011.0,2011,,AFR,2011,2011,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ4,Q4,,,,,,,,No data,,,,,,Not available.
2716,asfr1,Adolescent fertility rate (births per 1000 women aged 15-19 years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3322,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2008.0,2008,,AFR,2008,2008,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ1,Q1 (Poorest),,,,,,,,205.3 [186.7-225.2],205.27373,186.66109,225.22838,,,
2717,asfr1,Adolescent fertility rate (births per 1000 women aged 15-19 years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3322,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2008.0,2008,,AFR,2008,2008,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ3,Q3,,,,,,,,128.5 [110.6-148.9],128.49199,110.55153,148.85661,,,
2718,asfr1,Adolescent fertility rate (births per 1000 women aged 15-19 years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3322,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2007.0,2007,,AFR,2007,2007,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ3,Q3,,,,,,,,No data,,,,,,Not available.
2719,asfr1,Adolescent fertility rate (births per 1000 women aged 15-19 years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3322,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2007.0,2007,,AFR,2007,2007,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ5,Q5 (Richest),,,,,,,,No data,,,,,,Not available.
2720,asfr1,Adolescent fertility rate (births per 1000 women aged 15-19 years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3322,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1999.0,1999,,AFR,1999,1999,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ2,Q2,,,,,,,,No data,,,,,,Not available.
2721,asfr1,Adolescent fertility rate (births per 1000 women aged 15-19 years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3322,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1999.0,1999,,AFR,1999,1999,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ4,Q4,,,,,,,,No data,,,,,,Not available.
2722,bfearly,Early initiation of breastfeeding (in the two years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3336,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2016.0,2016,,AFR,2016,2016,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ1,Q1 (Poorest),,,,,,,,28.1 [25.7-30.8],28.13380,25.65538,30.75262,,,
2723,bfearly,Early initiation of breastfeeding (in the two years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3336,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,AFR,2013,2013,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ1,Q1 (Poorest),,,,,,,,22.4 [19.6-25.4],22.35655,19.58311,25.39872,,,
2724,bfearly,Early initiation of breastfeeding (in the two years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3336,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,AFR,2013,2013,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ3,Q3,,,,,,,,36.2 [33.4-39.0],36.17667,33.39912,39.04978,,,
2725,bfearly,Early initiation of breastfeeding (in the two years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3336,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2011.0,2011,,AFR,2011,2011,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ5,Q5 (Richest),,,,,,,,25.1 [21.1-29.5],25.07614,21.14894,29.46012,,,
2726,bfearly,Early initiation of breastfeeding (in the two years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3336,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2008.0,2008,,AFR,2008,2008,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ2,Q2,,,,,,,,36.3 [33.3-39.3],36.27195,33.31647,39.33495,,,
2727,bfearly,Early initiation of breastfeeding (in the two years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3336,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2007.0,2007,,AFR,2007,2007,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ4,Q4,,,,,,,,31.2 [27.7-34.9],31.15656,27.67336,34.86681,,,
2728,bfearly,Early initiation of breastfeeding (in the two years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3336,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003.0,2003,,AFR,2003,2003,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ1,Q1 (Poorest),,,,,,,,24.5 [19.2-30.7],24.52099,19.2422,30.69746,,,
2729,bfearly,Early initiation of breastfeeding (in the two years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3336,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1999.0,1999,,AFR,1999,1999,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ1,Q1 (Poorest),,,,,,,,No data,,,,,,Not available.
2730,bfearly,Early initiation of breastfeeding (in the two years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3336,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1999.0,1999,,AFR,1999,1999,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ3,Q3,,,,,,,,No data,,,,,,Not available.
2731,bfearly5,Early initiation of breastfeeding (in the five years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3336,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,AFR,2013,2013,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ2,Q2,,,,,,,,30.6 [28.4-33.0],30.61609,28.36156,32.96736,,,
2732,bfearly5,Early initiation of breastfeeding (in the five years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3336,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,AFR,2013,2013,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ4,Q4,,,,,,,,43.0 [40.6-45.5],42.99681,40.56728,45.46054,,,
2733,bfearly5,Early initiation of breastfeeding (in the five years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3336,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2008.0,2008,,AFR,2008,2008,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ1,Q1 (Poorest),,,,,,,,30.1 [27.3-33.1],30.14886,27.32794,33.12823,,,
2734,bfearly5,Early initiation of breastfeeding (in the five years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3336,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2008.0,2008,,AFR,2008,2008,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ3,Q3,,,,,,,,42.4 [39.7-45.2],42.44844,39.7254,45.21812,,,
2735,bfearly5,Early initiation of breastfeeding (in the five years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3336,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2007.0,2007,,AFR,2007,2007,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ3,Q3,,,,,,,,No data,,,,,,Not available.
2736,bfearly5,Early initiation of breastfeeding (in the five years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3336,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2007.0,2007,,AFR,2007,2007,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ5,Q5 (Richest),,,,,,,,No data,,,,,,Not available.
2737,bfearly5,Early initiation of breastfeeding (in the five years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3336,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1999.0,1999,,AFR,1999,1999,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ2,Q2,,,,,,,,No data,,,,,,Not available.
2738,bfearly5,Early initiation of breastfeeding (in the five years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3336,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1999.0,1999,,AFR,1999,1999,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ4,Q4,,,,,,,,No data,,,,,,Not available.
2739,bmi30wm,"Obesity prevalence in non-pregnant women aged 15-49 years, BMI >= 30 (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3319,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2016.0,2016,,AFR,2016,2016,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ1,Q1 (Poorest),,,,,,,,No data,,,,,,Not available.
2740,bmi30wm,"Obesity prevalence in non-pregnant women aged 15-49 years, BMI >= 30 (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3319,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,AFR,2013,2013,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ1,Q1 (Poorest),,,,,,,,1.9 [1.2-3.0],1.90939,1.22768,2.9583,,,
2741,bmi30wm,"Obesity prevalence in non-pregnant women aged 15-49 years, BMI >= 30 (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3319,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,AFR,2013,2013,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ3,Q3,,,,,,,,5.1 [4.5-5.8],5.10167,4.48135,5.80264,,,
2742,bmi30wm,"Obesity prevalence in non-pregnant women aged 15-49 years, BMI >= 30 (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3319,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2011.0,2011,,AFR,2011,2011,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ5,Q5 (Richest),,,,,,,,No data,,,,,,Not available.
2743,bmi30wm,"Obesity prevalence in non-pregnant women aged 15-49 years, BMI >= 30 (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3319,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2008.0,2008,,AFR,2008,2008,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ2,Q2,,,,,,,,2.3 [1.9-2.8],2.30209,1.87369,2.8256,,,
2744,bmi30wm,"Obesity prevalence in non-pregnant women aged 15-49 years, BMI >= 30 (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3319,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2007.0,2007,,AFR,2007,2007,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ4,Q4,,,,,,,,No data,,,,,,Not available.
2745,bmi30wm,"Obesity prevalence in non-pregnant women aged 15-49 years, BMI >= 30 (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3319,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003.0,2003,,AFR,2003,2003,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ1,Q1 (Poorest),,,,,,,,2.1 [1.2-3.6],2.08840,1.19171,3.63498,,,
2746,bmi30wm,"Obesity prevalence in non-pregnant women aged 15-49 years, BMI >= 30 (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3319,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1999.0,1999,,AFR,1999,1999,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ1,Q1 (Poorest),,,,,,,,No data,,,,,,Not available.
2747,bmi30wm,"Obesity prevalence in non-pregnant women aged 15-49 years, BMI >= 30 (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3319,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1999.0,1999,,AFR,1999,1999,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ3,Q3,,,,,,,,No data,,,,,,Not available.
